pixel_y,depth_cm,shoulder,elbow,base_correction
-14,29.28,15,48,5.0
-113,10.967741935483872,5,40,1.0
-133,8.489208633093526,17,56,4.0
-30,20.549999999999997,28,77,5.0
-141,7.374149659863946,26,73,3.0
-130,7.777777777777779,21,62,6.0
-12,23.380000000000003,14,46,9.0
-4,24.049999999999997,5,37,5.0
1,22.729999999999997,3,41,9.0
-83,6.614379084967322,100,140,0.0
20,18.3,19,57,4.0
17,22.939999999999998,15,53,6.0
36,29.880000000000003,0,24,2.0
16,26.490000000000002,0,28,5.0
-158,3.955182072829132,33,83,3.0
-92,9.018450184501845,30,77,15.0
-1,23.6,30,75,11.0
5,21.310000000000002,33,76,7.0
-9,21.9,33,80,9.0
-74,7.916083916083917,16,53,5.0
-117,6.140127388535031,22,65,10.0
-118,5.526153846153846,0,29,-6.0
-139,7.641379310344828,11,52,7.0
-176,5.156626506024097,35,84,0.0
-142,7.573883161512029,14,51,1.0
-42,21.509999999999998,29,72,7.0
-145,6.19808306709265,24,75,6.0
-165,4.2279202279202295,47,102,7.0
-188,3.1087533156498672,15,55,3.0
-166,4.4624277456647405,26,69,4.0
-188,3.6054794520547944,38,91,4.0
-117,7.846689895470384,11,52,3.0
-232,1.1547344110854496,49,108,4.0
-209,2.029556650246306,49,105,2.0
-177,4.045070422535211,29,83,6.0
-114,7.9859649122807035,15,51,11.0
-150,5.63467492260062,28,70,9.0
-154,5.053892215568862,21,62,-3.0
-1,25.47,57,118,6.0
-10,25.229999999999997,21,65,8.0
-109,17.21,42,96,6.0
-123,7.308474576271188,16,55,7.0
-131,8.198581560283689,32,83,14.0
0,2.2756892230576433,4,37,3
-248,2.347607052896725,50,108,0.0
-122,7.9859649122807035,12,48,1.0
-160,5.002985074626867,33,84,8.0
-188,3.6054794520547944,41,98,-1.0
-176,0.09341825902335543,24,63,0.0
-83,9.575757575757574,0,27,5.0
-120,6.986666666666668,13,52,6.0
-102,8.342857142857142,33,82,14.0
-101,8.198581560283689,15,51,1.0
-123,6.553745928338763,24,69,5.0
-186,2.5677749360613813,42,98,7.0
-178,2.3115577889447234,33,81,4.0
-135,5.526153846153846,14,47,7.0
-79,8.198581560283689,111,140,0.0
-154,4.181818181818183,100,140,-3.0
-131,5.526153846153846,29,74,5.0
-203,27.560000000000002,100,140,0.0
-9,23.159999999999997,60,110,5.0
-183,4.2279202279202295,36,89,0.0
-23,0.19700214132762284,12,54,9
124,7.374149659863946,24,67,12.0
-156,5.002985074626867,34,85,13.0
-94,8.127208480565372,2,27,1.0
-124,5.74454828660436,23,66,2.0
-158,4.510144927536231,36,91,6.0
-102,17.51,42,95,3.0
-171,4.2279202279202295,35,86,4.0
-42,12.033755274261605,2,15,7.0
-28,7.243243243243242,22,58,2.0
-40,4.4624277456647405,36,78,5.0
-51,4.09039548022599,39,83,7.0
-61,2.833333333333334,47,95,1.0
-24,6.2564102564102555,30,69,3.0
180,18.62,7,31,5.0
198,20.92,30,67,20.0
-140,4.852071005917161,43,92,25.0
-181,4.654970760233919,34,85,10.0
-151,4.802359882005899,28,73,-8.0
-146,4.703812316715542,34,82,5.0
-40,24.049999999999997,24,66,9.0
-114,6.433656957928804,26,66,15.0
-135,5.002985074626867,34,85,4.0
-144,4.3678160919540225,30,74,4.0
-120,5.689440993788821,25,67,12.0
-106,6.19808306709265,29,70,8.0
-153,3.436314363143632,45,100,1.0
-160,3.5628415300546443,24,70,14.0
-72,8.198581560283689,14,50,8.0
-69,7.777777777777779,42,91,14.0
-139,3.8662952646239557,25,63,1.0
-92,6.433656957928804,0,24,7.0
-91,5.74454828660436,17,54,5.0
-76,7.709342560553633,0,21,0.0
-104,8.788321167883211,15,55,10.0
-143,6.082539682539682,28,72,8.0
